Sec,NanoSec,Sec_total,X,Y,Z,x_dot,y_dot,z_dot,q_x,q_y,q_z,q_w
1.63E+09,7.66E+08,1.63E+09,67.374,-14.678,8.6656,0.00025148,-0.00081497,0.00063334,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.99E+08,1.63E+09,67.374,-14.678,8.6656,0.00022748,-0.00073716,0.00057288,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,8.33E+08,1.63E+09,67.374,-14.678,8.6656,0.00020807,-0.00067429,0.00052402,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,8.66E+08,1.63E+09,67.374,-14.678,8.6656,0.00018672,-0.00060508,0.00047023,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,8.99E+08,1.63E+09,67.374,-14.678,8.6657,0.00016887,-0.00054723,0.00042527,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,9.33E+08,1.63E+09,67.374,-14.678,8.6657,0.00015506,-0.00050249,0.00039051,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,9.66E+08,1.63E+09,67.374,-14.678,8.6657,0.00013748,-0.00044553,0.00034624,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,1.00E+09,1.63E+09,67.374,-14.678,8.6657,0.00012571,-0.00040739,0.0003166,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.28E+07,1.63E+09,67.374,-14.678,8.6657,0.000114,-0.00036942,0.00028709,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.61E+07,1.63E+09,67.374,-14.678,8.6657,0.00010262,-0.00033254,0.00025843,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,9.96E+07,1.63E+09,67.374,-14.678,8.6657,9.30E-05,-0.00030152,0.00023432,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,1.33E+08,1.63E+09,67.374,-14.678,8.6657,8.55E-05,-0.00027699,0.00021526,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,1.66E+08,1.63E+09,67.374,-14.678,8.6657,7.57E-05,-0.00024546,0.00019076,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,2.00E+08,1.63E+09,67.374,-14.678,8.6657,6.88E-05,-0.00022284,0.00017318,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,2.33E+08,1.63E+09,67.374,-14.678,8.6657,6.29E-05,-0.00020386,0.00015843,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,2.66E+08,1.63E+09,67.374,-14.678,8.6658,2.84E-05,-9.19E-05,7.14E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.33E+08,1.63E+09,67.374,-14.678,8.6658,5.12E-05,-0.00016585,0.00012889,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.66E+08,1.63E+09,67.374,-14.678,8.6658,4.67E-05,-0.00015139,0.00011765,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,3.99E+08,1.63E+09,67.374,-14.678,8.6658,4.18E-05,-0.00013554,0.00010533,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,4.33E+08,1.63E+09,67.374,-14.678,8.6658,3.79E-05,-0.00012276,9.54E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,4.66E+08,1.63E+09,67.374,-14.678,8.6658,3.46E-05,-0.00011211,8.71E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,4.99E+08,1.63E+09,67.374,-14.678,8.6658,3.11E-05,-0.00010075,7.83E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,5.33E+08,1.63E+09,67.374,-14.678,8.6658,1.41E-05,-4.58E-05,3.56E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,5.99E+08,1.63E+09,67.374,-14.678,8.6658,2.55E-05,-8.26E-05,6.42E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.33E+08,1.63E+09,67.374,-14.678,8.6658,2.31E-05,-7.49E-05,5.82E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.66E+08,1.63E+09,67.374,-14.678,8.6658,2.11E-05,-6.83E-05,5.31E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,6.99E+08,1.63E+09,67.374,-14.678,8.6658,1.88E-05,-6.08E-05,4.72E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.33E+08,1.63E+09,67.374,-14.678,8.6658,1.71E-05,-5.56E-05,4.32E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.66E+08,1.63E+09,67.374,-14.678,8.6658,1.57E-05,-5.09E-05,3.95E-05,-0.049895,-0.16441,-0.015417,0.98501
1.63E+09,7.99E+08,1.63E+09,67.374,-14.678,8.6658,1.39E-05,-4.51E-05,3.51E-05,-0.049895,-0.16441,-0.015417,0.98501
