Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z
1632492882,386680832,13.6704402,-0.387874588,0.321807467,-6.92317663,0.596733809,0.543593705,-0.08848881
1632492882,396691712,13.68045115,-0.303169493,0.910213176,-7.947402189,0.64496249,0.542831123,-0.05644156
1632492882,406704640,13.69046402,-0.422169802,1.271242902,-8.813574197,0.639500141,0.539657176,-0.003459789
1632492882,414721536,13.69848084,-0.064904119,2.558974289,-11.76526244,0.553229272,0.537118256,0.055615358
1632492882,424734208,13.70849347,0.000167486,3.504269811,-15.8129304,0.367326111,0.541329563,0.113061808
1632492882,434748928,13.71850824,-0.902847835,3.4831788,-17.51502541,0.11929445,0.539454639,0.155457377
1632492882,444765440,13.72852468,-1.716609273,1.950057232,-16.18056193,-0.088836111,0.542458832,0.166309759
1632492882,454778624,13.73853803,-2.185778252,0.791854873,-12.15479718,-0.195029855,0.541675448,0.15706566
1632492882,464793600,13.74855304,-2.174964012,0.539584833,-8.383992694,-0.225616723,0.543936133,0.136608601
1632492882,474810112,13.75856948,-1.687710656,0.257681525,-6.159204182,-0.209236428,0.540684283,0.105551012
