id,t,w_l,w_r
e,87.7910714149475,1.15081768625076,0.545124167171411
e,87.8907887935638,1.21138703815869,0.484554815263477
e,87.9896600246429,1.09024833434282,0.0605693519079346
e,88.099880695343,1.15081768625076,-0.484554815263477
e,88.1984066963196,2.78619018776499,0.545124167171411
e,88.2978885173798,2.24106602059358,0.242277407631738
e,88.3986096382141,1.93821926105391,0.302846759539673
e,88.4956920146942,2.30163537250151,1.33252574197456
e,88.5944106578827,3.81586917019988,3.1496062992126
e,88.6936612129211,5.02725620835857,4.7244094488189
e,88.7931544780731,5.20896426408237,5.0878255602665
e,88.8915328979492,5.02725620835857,5.02725620835857
e,89.0891766548157,4.84554815263477,4.84554815263477
e,89.1991469860077,3.93700787401575,2.96789824348879
e,89.2983140945435,4.48213204118716,3.87643852210781
e,89.3978102207184,3.75529981829194,2.66505148394912
e,89.5957334041595,3.69473046638401,3.02846759539673
e,89.7938098907471,4.36099333737129,3.39188370684434
e,89.8927326202393,4.23985463355542,3.81586917019988
e,89.9917712211609,4.23985463355542,3.27074500302847
e,90.0911235809326,5.14839491217444,5.14839491217444
e,90.1893584728241,5.02725620835857,5.02725620835857
e,90.6960959434509,5.99636583888552,5.99636583888552
e,90.8957650661469,5.69351907934585,5.69351907934585
e,90.9928538799286,3.87643852210781,3.87643852210781
e,91.0919895172119,4.17928528164749,4.17928528164749
e,91.2892925739288,2.48334342822532,2.48334342822532
e,91.3992624282837,4.05814657783162,4.05814657783162
e,91.4983410835266,5.45124167171411,5.45124167171411
e,91.697035074234,5.45124167171411,5.45124167171411
e,91.7956130504608,5.02725620835857,5.02725620835857
e,91.8945226669312,4.84554815263477,4.84554815263477
e,91.9937784671783,4.05814657783162,4.05814657783162
e,92.0927379131317,3.08903694730466,3.08903694730466
e,92.5984182357788,4.84554815263477,4.84554815263477
e,92.6980078220367,3.87643852210781,3.87643852210781
e,92.7967448234558,4.60327074500303,4.60327074500303
e,92.8958926200867,4.7244094488189,4.7244094488189
e,92.9946591854095,3.75529981829194,3.75529981829194
e,93.0936825275421,3.3313143549364,3.3313143549364
e,93.3904898166656,4.48213204118716,4.48213204118716
e,93.4892392158508,5.02725620835857,5.02725620835857
e,93.5991818904877,5.14839491217444,5.14839491217444
e,93.7978255748749,3.39188370684434,3.39188370684434
e,94.1935584545135,5.45124167171411,5.45124167171411
e,94.4904465675354,5.45124167171411,5.45124167171411
e,94.700094461441,5.45124167171411,5.45124167171411
e,94.7989504337311,4.84554815263477,4.84554815263477
e,94.8981378078461,5.02725620835857,5.02725620835857
e,94.9972131252289,4.7244094488189,4.7244094488189
e,95.0955145359039,3.39188370684434,3.39188370684434
e,95.1963927745819,4.17928528164749,4.17928528164749
e,95.2933065891266,4.17928528164749,4.17928528164749
e,95.3928272724152,5.26953361599031,5.26953361599031
e,95.4914894104004,5.14839491217444,5.14839491217444
e,95.6900105476379,5.26953361599031,5.26953361599031
e,95.7997848987579,3.63416111447608,3.63416111447608
e,95.8990833759308,4.7244094488189,4.7244094488189
e,95.9978399276733,5.14839491217444,5.14839491217444
e,96.0967407226562,4.84554815263477,4.84554815263477
