,Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z,w_left,w_right,X,Y,Z,qX,qY,qZ,qW,v_x,v_y,v_z
p,1633451995,23263750,0.900249004,,,,0,2.09E-16,0,,,-0.16395932,0.150627589,0.082663567,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.002662167,-0.000307541,0.002389973
i,1633451994,769818880,0.90056777,-0.368194247,0.048691171,-9.804300222,-0.00022269,0.540203869,-0.001582995,,,,,,,,,,,,
e,1633451994,810260827,0.902213573,,,,,,,0,0,,,,,,,,,,
of,1633451994,810260773,0.902213573,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
ho,1633451994,810260827,0.902213573,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,779824128,0.910573006,-0.368395067,0.049379505,-9.80441245,0.000129766,0.535487592,-0.001691865,,,,,,,,,,,,
i,1633451994,789837056,0.920586109,-0.371500194,0.05302768,-9.79971757,0.001879805,0.538053274,-0.000406855,,,,,,,,,,,,
of,1633451994,835253239,0.927206039,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,799846144,0.93059516,-0.378727149,0.056810998,-9.803082078,0.000989716,0.536284685,-0.001073106,,,,,,,,,,,,
p,1633451995,56518750,0.933504105,,,,0,2.08E-16,0,,,-0.16405127,0.150614757,0.082738663,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.00240354,-0.000277663,0.002157789
i,1633451994,809851392,0.940600395,-0.387731709,0.057885034,-9.798737327,-0.001041571,0.538050175,-0.001850383,,,,,,,,,,,,
of,1633451994,855291843,0.947244644,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,819858432,0.950607538,-0.392995694,0.059929522,-9.798246913,-0.00018446,0.536373436,-0.002133015,,,,,,,,,,,,
i,1633451994,829867520,0.960616589,-0.39210543,0.059922033,-9.799625216,0.000419961,0.538122475,-0.002429098,,,,,,,,,,,,
p,1633451995,89860750,0.966845989,,,,0,2.07E-16,0,,,-0.164134505,0.150603141,0.082806642,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.002166715,-0.000250304,0.001945178
of,1633451994,875292540,0.96724534,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
of,1633451994,875292540,0.96724534,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,839872512,0.970621586,-0.390420692,0.058787367,-9.801694423,2.40E-05,0.535823286,-0.001877018,,,,,,,,,,,,
i,1633451994,849879552,0.98062849,-0.385519695,0.054726236,-9.802269593,-4.66E-05,0.539280176,-0.001660445,,,,,,,,,,,,
i,1633451994,859888640,0.990637541,-0.375733191,0.049951391,-9.804959563,-4.10E-05,0.534788847,-0.002290435,,,,,,,,,,,,
p,1633451995,123340750,1.000326157,,,,0,2.10E-16,0,,,-0.164209849,0.150592627,0.082868176,0.019552825,-0.021770725,-0.00232048,0.999569076,-0.001986979,-0.000229541,0.001783819
i,1633451994,869893376,1.0006423,-0.369494553,0.04848594,-9.810083482,0.000133647,0.539424539,-0.002687648,,,,,,,,,,,,
e,1633451994,909763514,1.001716375,,,,,,,0,0,,,,,,,,,,
of,1633451994,909763575,1.001716375,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
ho,1633451994,909763514,1.001716375,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,879900416,1.010649443,-0.370833035,0.051600862,-9.800768541,0.000239362,0.536461413,-0.001779344,,,,,,,,,,,,
i,1633451994,889909504,1.020658493,-0.36954157,0.050958422,-9.804906371,0.000319229,0.536608934,-0.002541386,,,,,,,,,,,,
of,1633451994,935290337,1.027243137,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451994,899914752,1.030663729,-0.374689308,0.057869019,-9.798810392,0.000960188,0.535563707,-0.001475931,,,,,,,,,,,,
